inp_spike_0,inp_spike_1,inp_spike_2,inp_spike_3,inp_spike_4,inp_spike_5,inp_spike_6,inp_spike_7,inp_spike_8,inp_spike_9,inp_spike_10,inp_spike_11,inp_spike_12,inp_spike_13,inp_spike_14,inp_spike_15,inp_spike_16,inp_spike_17,inp_spike_18,inp_spike_19,inp_spike_20,inp_spike_21,inp_spike_22,inp_spike_23,inp_spike_24,inp_spike_25,inp_spike_26,inp_spike_27,inp_spike_28,inp_spike_29,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,out_spike_0,out_spike_1,out_spike_2,out_spike_3,out_spike_4,out_spike_5,out_spike_6,out_spike_7,out_spike_8,out_spike_9,out_spike_10,out_spike_11,out_spike_12,out_spike_13,out_spike_14,out_spike_15,out_spike_16,out_spike_17,out_spike_18,out_spike_19,out_spike_20,out_spike_21,out_spike_22,out_spike_23,out_spike_24,out_spike_25,out_spike_26,out_spike_27,out_spike_28,out_spike_29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-64.94022681282723,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-65.03992966648215,-65.03992966648215,-64.94022681282723,-65.03992966648215,-65.03992966648215,-64.94022681282723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.07973709317693,-65.07973709317693,-65.07973709317693,-65.07973709317693,-65.07973709317693,-65.07973709317693,-65.07973709317693,-64.88072447098595,-65.07973709317693,-65.07973709317693,-64.88072447098595,-65.07973709317693,-65.07973709317693,-64.88072447098595,-64.88072447098595,-65.07973709317693,-64.88072447098595,-65.07973709317693,-65.07973709317693,-64.88072447098595,-65.07973709317693,-64.88072447098595,-65.07973709317693,-65.07973709317693,-65.07973709317693,-65.07973709317693,-64.88072447098595,-65.07973709317693,-65.07973709317693,-64.88072447098595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.11941985226726,-65.11941985226726,-65.11941985226726,-65.11941985226726,-65.11941985226726,-65.11941985226726,-65.11941985226726,-64.82148668358285,-65.11941985226726,-65.11941985226726,-64.82148668358285,-65.11941985226726,-65.11941985226726,-64.82148668358285,-64.82148668358285,-65.11941985226726,-64.82148668358285,-65.11941985226726,-65.11941985226726,-64.82148668358285,-65.11941985226726,-64.82148668358285,-65.11941985226726,-65.11941985226726,-65.11941985226726,-65.11941985226726,-64.82148668358285,-65.11941985226726,-65.11941985226726,-64.82148668358285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.15897555144771,-65.15897555144771,-65.15897555144771,-65.15897555144771,-65.15897555144771,-65.15897555144771,-65.15897555144771,-64.76250725572376,-65.15897555144771,-65.15897555144771,-64.76250725572376,-65.15897555144771,-65.15897555144771,-64.76250725572376,-64.76250725572376,-65.15897555144771,-64.76250725572376,-65.15897555144771,-65.15897555144771,-64.76250725572376,-65.15897555144771,-64.76250725572376,-65.15897555144771,-65.15897555144771,-65.15897555144771,-65.15897555144771,-64.76250725572376,-65.15897555144771,-65.15897555144771,-64.76250725572376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.19840183432329,-65.19840183432329,-65.19840183432329,-65.19840183432329,-65.19840183432329,-65.19840183432329,-65.19840183432329,-64.70378008554053,-65.19840183432329,-65.19840183432329,-64.70378008554053,-65.19840183432329,-65.19840183432329,-64.70378008554053,-64.70378008554053,-65.19840183432329,-64.70378008554053,-65.19840183432329,-65.19840183432329,-64.70378008554053,-65.19840183432329,-64.70378008554053,-65.19840183432329,-65.19840183432329,-65.19840183432329,-65.19840183432329,-64.70378008554053,-65.19840183432329,-65.19840183432329,-64.70378008554053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.23769638078986,-65.23769638078986,-65.23769638078986,-65.23769638078986,-65.23769638078986,-65.23769638078986,-65.23769638078986,-64.64529916129722,-65.23769638078986,-65.23769638078986,-64.64529916129722,-65.23769638078986,-65.23769638078986,-64.64529916129722,-64.64529916129722,-65.23769638078986,-64.64529916129722,-65.23769638078986,-65.23769638078986,-64.64529916129722,-65.23769638078986,-64.64529916129722,-65.23769638078986,-65.23769638078986,-65.23769638078986,-65.23769638078986,-64.64529916129722,-65.23769638078986,-65.23769638078986,-64.64529916129722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.27685690739648,-65.27685690739648,-65.27685690739648,-65.27685690739648,-65.27685690739648,-65.27685690739648,-65.27685690739648,-64.58705855857258,-65.27685690739648,-65.27685690739648,-64.58705855857258,-65.27685690739648,-65.27685690739648,-64.58705855857258,-64.58705855857258,-65.27685690739648,-64.58705855857258,-65.27685690739648,-65.27685690739648,-64.58705855857258,-65.27685690739648,-64.58705855857258,-65.27685690739648,-65.27685690739648,-65.27685690739648,-65.27685690739648,-64.58705855857258,-65.27685690739648,-65.27685690739648,-64.58705855857258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.3158811676895,-65.3158811676895,-65.3158811676895,-65.3158811676895,-65.3158811676895,-65.3158811676895,-65.3158811676895,-64.52905243751592,-65.3158811676895,-65.3158811676895,-64.52905243751592,-65.3158811676895,-65.3158811676895,-64.52905243751592,-64.52905243751592,-65.3158811676895,-64.52905243751592,-65.3158811676895,-65.3158811676895,-64.52905243751592,-65.3158811676895,-64.52905243751592,-65.3158811676895,-65.3158811676895,-65.3158811676895,-65.3158811676895,-64.52905243751592,-65.3158811676895,-65.3158811676895,-64.52905243751592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.35476695253831,-65.35476695253831,-65.35476695253831,-65.35476695253831,-65.35476695253831,-65.35476695253831,-65.35476695253831,-64.4712750401734,-65.35476695253831,-65.35476695253831,-64.4712750401734,-65.35476695253831,-65.35476695253831,-64.4712750401734,-64.4712750401734,-65.35476695253831,-64.4712750401734,-65.35476695253831,-65.35476695253831,-64.4712750401734,-65.35476695253831,-64.4712750401734,-65.35476695253831,-65.35476695253831,-65.35476695253831,-65.35476695253831,-64.4712750401734,-65.35476695253831,-65.35476695253831,-64.4712750401734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-65.393512090443,-65.393512090443,-65.393512090443,-65.393512090443,-65.393512090443,-65.393512090443,-65.393512090443,-64.41372068788219,-65.393512090443,-65.393512090443,-64.41372068788219,-65.393512090443,-65.393512090443,-64.41372068788219,-64.41372068788219,-65.393512090443,-64.41372068788219,-65.393512090443,-65.393512090443,-64.41372068788219,-65.393512090443,-64.41372068788219,-65.393512090443,-65.393512090443,-65.393512090443,-65.393512090443,-64.41372068788219,-65.393512090443,-65.393512090443,-64.41372068788219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
